domain,source_term,zh_cn,count,status,en_reference,zh_reference,note
star_wars,A Desert Hunt,沙漠狩猎,1,review,tlk=StrRef 32518,,KOTOR 任务标题；中文译名按项目暂定
star_wars,A Doubting Sith,心存疑虑的西斯,1,review,tlk=StrRef 32526,,KOTOR 任务标题；中文译名按项目暂定
star_wars,A Quest for the Star Forge,寻找星际锻炉,1,review,tlk=StrRef 32533,,KOTOR 任务标题；中文译名按项目暂定
star_wars,A Rancor in the Sewers,下水道里的兰克兽,1,review,tlk=StrRef 32543,,KOTOR 任务标题；中文译名按项目暂定
star_wars,A Wookiee Lost,失踪的伍基人,1,review,tlk=StrRef 32546,,KOTOR 任务标题；中文译名按项目暂定
star_wars,A-4R,A-4R,1,review,tlk=StrRef 11119,,Czerka Corporation 资源站型号；保留型号
star_wars,ACME Detonators,ACME 雷管,1,review,tlk=StrRef 24424,,Taris 下层城店铺/标签；ACME 保留原名
star_wars,Ada,艾达,1,review,https://starwars.fandom.com/wiki/Ada,,Taris Black Vulkar 基地厨房奴隶；中文译名按项目暂定
star_wars,Admiral Karath,卡拉斯上将,19,review,https://starwars.fandom.com/wiki/Saul_Karath,,Saul Karath 的军衔称呼；缺少 Saul 时按头衔+姓氏译
star_wars,Admiral Saul Karath,索尔·卡拉斯上将,4,review,https://starwars.fandom.com/wiki/Saul_Karath,,Saul Karath 的军衔称呼
star_wars,Adrenas,阿德雷纳斯,6,review,https://starwars.fandom.com/wiki/Adrenas,,Korriban Sith Academy 总管；中文译名按项目暂定
star_wars,agricultural reformation,农业改造,2,review,tlk=StrRef 12492,,Kashyyyk 古代设施功能；中文译名按项目暂定
star_wars,Ahlan,阿兰,48,review,https://starwars.fandom.com/wiki/Ahlan_Matale,,Ahlan Matale 的简称；中文译名按项目暂定
star_wars,Ahlan Matale,阿兰·马塔勒,22,review,https://starwars.fandom.com/wiki/Ahlan_Matale,,Dantooine Matale 家族角色；中文译名按项目暂定
star_wars,Ahto City,阿赫托城,50,review,https://starwars.fandom.com/wiki/Ahto_City,,Manaan 城市
star_wars,Ahto City authorities,阿赫托城当局,11,review,tlk=StrRef 20371,,Manaan 城市执法/管理机构称呼；中文译名按项目暂定
star_wars,Ahto City Export Authority,阿赫托城出口管理局,2,review,tlk=StrRef 19887,,Manaan 科尔托出口许可机构；中文译名按项目暂定
star_wars,Ahto City Prison,阿赫托城监狱,3,review,tlk=StrRef 17659,,Manaan 监狱设施；中文译名按项目暂定
star_wars,Ahto East,阿赫托东区,1,review,tlk=StrRef 18533,,Manaan 区域标签；中文译名按项目暂定
star_wars,Ahto West,阿赫托西区,3,review,tlk=StrRef 17180,,Manaan 区域标签；中文译名按项目暂定
star_wars,Aiding Lashowe,协助拉肖维,1,review,tlk=StrRef 32555,,KOTOR 任务标题；中文译名按项目暂定
star_wars,Air Lock Control,气闸控制,1,review,tlk=StrRef 21081,,Hrakert Rift 气闸控制标签拼写变体；中文译名按项目暂定
star_wars,Airlock Control,气闸控制,5,review,tlk=StrRef 20678,,Hrakert Station 气闸控制面板标签；中文译名按项目暂定
star_wars,Airlock Control Panel,气闸控制面板,2,review,tlk=StrRef 21016,,Hrakert Station 气闸控制面板标签；中文译名按项目暂定
star_wars,Ajunta Pall,阿君塔·帕尔,23,review,https://starwars.fandom.com/wiki/Ajunta_Pall,,古代西斯尊主
star_wars,Ajuur,阿朱尔,14,review,https://starwars.fandom.com/wiki/Ajuur,,Taris 上层酒馆决斗组织者；中文译名按项目暂定
star_wars,Alderaan,奥德朗,9,confirmed,https://starwars.fandom.com/wiki/Alderaan/Legends,https://starwars.fandom.com/zh/wiki/%E5%A5%A5%E5%BE%B7%E6%9C%97,星球名
star_wars,Alhan Matale,阿兰·马塔勒,1,review,https://starwars.fandom.com/wiki/Ahlan_Matale,,KOTOR 原文拼写变体；按 Ahlan Matale 统一译名
star_wars,Althir,阿尔希尔,5,review,tlk=StrRef 2338,,坎德鲁斯回忆中的战役地点；未查到稳定独立网页条目
star_wars,Althiri,阿尔希尔人,4,review,https://starwars.fandom.com/wiki/Althiri,,坎德鲁斯回忆中的敌方族群；中文译名按项目暂定
star_wars,Ambria,安布里亚,2,review,tlk=StrRef 6164,,光剑水晶 Luxum 说明中的星球；中文译名按项目暂定
star_wars,Anchorhead,锚头镇,63,confirmed,https://starwars.fandom.com/wiki/Anchorhead,https://starwars.fandom.com/zh/wiki/%E9%94%9A%E5%A4%B4%E9%95%87,Tatooine 城镇
star_wars,Ancient Battle Droid,古代战斗机器人,2,review,tlk=StrRef 15676,,Ajunta Pall tomb 敌人标签；中文译名按项目暂定
star_wars,Ancient Console,古代控制台,3,review,tlk=StrRef 15698,,Ajunta Pall tomb 控制台标签；中文译名按项目暂定
star_wars,Ancient Droid,古代机器人,3,review,tlk=StrRef 9414,,Dantooine 遗迹监管者标签；中文译名按项目暂定
star_wars,Ancient Grove,古代林地,1,review,tlk=StrRef 33453,,Dantooine 地点标签；中文译名按项目暂定
star_wars,ancient grove,古代林地,4,review,tlk=StrRef 7153,,Dantooine 绝地试炼地点；中文译名按项目暂定
star_wars,Ancient Rakata,古代拉卡塔人,2,review,tlk=StrRef 30896,,Lehon/Rakata 历史语境中的古代拉卡塔文明；中文译名按项目暂定
star_wars,Ancient Rakata Computer,古代拉卡塔计算机,1,review,tlk=StrRef 31239,,Temple 内部古代拉卡塔计算机标签；中文译名按项目暂定
star_wars,Ancient Sith Artifact,古代西斯神器,1,review,tlk=StrRef 16013,,Tulak Hord tomb 物件标签；中文译名按项目暂定
star_wars,Ancient Sith Key,古代西斯钥匙,1,review,tlk=StrRef 16014,,Tulak Hord tomb 物件标签；中文译名按项目暂定
star_wars,Ancient Sith Tablet,古代西斯石板,4,review,tlk=StrRef 16016,,Tulak Hord tomb 奖励/物件；中文译名按项目暂定
star_wars,Ancient terminal,古代终端,2,review,tlk=StrRef 9426,,Dantooine 遗迹古代终端；中文译名按项目暂定
star_wars,Ancients,古代人,53,review,tlk=StrRef 30539,,Lehon/Rakata 语境中对古代文明或古代人的称呼；普通 ancient 按上下文
star_wars,Ando,安多,1,review,https://starwars.fandom.com/wiki/Ando/Legends,,Queedle Molto 的母星；中文译名按项目暂定
star_wars,Andor,安多尔,17,review,https://starwars.fandom.com/wiki/Andor_Vex,,Jolee Bindo 回忆人物 Andor Vex 的简称；中文译名按项目暂定
star_wars,Andor Vex,安多尔·韦克斯,1,review,https://starwars.fandom.com/wiki/Andor_Vex,,乔利回忆人物；中文译名按项目暂定
star_wars,Andrenas,阿德雷纳斯,1,review,tlk=StrRef 15089,,KOTOR 原文拼写变体；按 Adrenas 统一译名
star_wars,Anduvian salt tablet,安杜维亚盐片,1,review,tlk=StrRef 3845,,乔利调侃口臭用的物品；未查到稳定独立网页条目
star_wars,Anglu,安格鲁,8,review,tlk=StrRef 24927,,Taris 飞梭赛车手；中文译名按项目暂定
star_wars,Anti-Alien League,反异族联盟,3,review,tlk=StrRef 21853,,Taris Gorton Colu 创立的人类至上组织；中文译名按项目暂定
star_wars,Aqualish,阿夸利什人,6,review,https://starwars.fandom.com/wiki/Aqualish,,物种；中文译名按项目暂定
star_wars,Aratech,阿拉泰克,11,review,https://starwars.fandom.com/wiki/Aratech_Repulsor_Company,,KOTOR 商店/公司简称；中文译名按项目暂定
star_wars,Aratech Droids,阿拉泰克机器人,5,review,tlk=StrRef 6704,,KOTOR 商店/公司名；中文译名按项目暂定
star_wars,Arbiter,仲裁员,39,review,https://starwars.fandom.com/wiki/Arbiter,,Manaan 法庭语境称号
star_wars,Ardroxian Flu,阿德罗克斯流感,1,review,tlk=StrRef 12093,,Kashyyyk/乔利对白中的疾病比喻；中文译名按项目暂定
star_wars,Arkanian,阿卡尼亚人,13,review,https://starwars.fandom.com/wiki/Arkanian/Legends,,物种/族群；中文译名按项目暂定
star_wars,Arkanian Sonic Rifle,阿卡尼亚音波步枪,1,review,https://starwars.fandom.com/wiki/Arkanian_sonic_rifle,,KOTOR 武器名；中文译名按项目暂定
star_wars,Arkanians,阿卡尼亚人,5,review,https://starwars.fandom.com/wiki/Arkanian/Legends,,复数；中文译名按项目暂定
star_wars,assassin droid,刺客机器人,26,review,https://starwars.fandom.com/wiki/Assassin_droid/Legends,,星战机器人类型；大小写按上下文
star_wars,Assassin Droid,暗杀机器人,13,review,https://starwars.fandom.com/wiki/Assassin_droid/Legends,,KOTOR 敌人/机器人标签大小写变体；中文译名按项目暂定
star_wars,assassination protocols,暗杀协议,3,review,tlk=StrRef 9785,,HK-47 功能协议；中文译名按项目暂定
star_wars,Assault Droid,突击机器人,46,review,tlk=StrRef 15679,,KOTOR 敌人/机器人标签；中文译名按项目暂定
star_wars,Assault Droid Mark I,突击机器人 Mark I,17,review,tlk=StrRef 21004,,KOTOR 敌人/机器人标签；型号保留
star_wars,Assault Droid Mark II,Mark II 突击机器人,5,review,tlk=StrRef 21434,,KOTOR 敌人/机器人标签；型号保留
star_wars,Assault Droid Mark IV,Mark IV 突击机器人,7,review,tlk=StrRef 21435,,KOTOR 敌人/机器人标签；型号保留
star_wars,Assault Mark II Droid,Mark II 突击机器人,1,review,tlk=StrRef 21410,,KOTOR 敌人/机器人标签；原文词序变体
star_wars,Assault Mark IV Droid,Mark IV 突击机器人,1,review,tlk=StrRef 21411,,KOTOR 敌人/机器人标签；原文词序变体
star_wars,Assistant Droid,助手机器人,2,review,tlk=StrRef 20040,,Manaan Republic Embassy 对象标签；中文译名按项目暂定
star_wars,astromech droid,宇航技工机器人,6,review,https://starwars.fandom.com/wiki/Astromech_droid,,R2-D2/T3-M4 类
star_wars,Attack on the Endar Spire,恩达尖塔号遇袭,1,review,tlk=StrRef 32564,,KOTOR 任务标题；中文译名按项目暂定
star_wars,authorization card,授权卡,8,review,tlk=StrRef 26512,,Black Vulkar 基地技工通行凭证；中文译名按项目暂定
star_wars,authorization cards,授权卡,3,review,tlk=StrRef 26516,,authorization card 复数；中文译名不额外标复数
star_wars,auto-targeting cannons,自动瞄准炮,4,review,tlk=StrRef 23931,,Taris 西斯封锁炮台称呼；中文译名按项目暂定
star_wars,auto-targeting laser cannons,自动瞄准激光炮,3,review,tlk=StrRef 26068,,Sith fleet orbital defense cannons；中文译名按项目暂定
star_wars,automated defense guns,自动防御炮,4,review,tlk=StrRef 25028,,Taris 西斯封锁炮台称呼；中文译名按项目暂定
star_wars,B'omarr,博马尔,1,review,https://starwars.fandom.com/wiki/B%27omarr_Order,,B'omarr Order 相关贬称；中文译名按项目暂定
star_wars,Bacca,巴卡,50,review,https://starwars.fandom.com/wiki/Bacca,,伍基人传说领袖；中文译名按项目暂定
star_wars,Bacca's Blade,巴卡之刃,9,review,tlk=StrRef 10996,,Bacca's Sword/巴卡之剑的剑刃或象征性称呼；中文译名按项目暂定
